intent,snippet
most efficient way to forward-fill nan values in numpy array,"arr[mask] = arr[np.nonzero(mask)[0], idx[mask]]"
from nd to 1d arrays,c = a.flatten()
delete an element with key `key` dictionary `r`,del r[key]
extract dictionary `d` from list `a` where the value associated with the key 'name' of dictionary `d` is equal to 'pluto',[d for d in a if d['name'] == 'pluto']
multiple statements in list compherensions in python?,"[i for i, x in enumerate(testlist) if x == 1]"
how do i get a list of all the duplicate items using pandas in python?,"pd.concat(g for _, g in df.groupby('ID') if len(g) > 1)"
how can i use a string with the same name of an object in python to access the object itself?,"getattr(your_obj, x)"
sorting a graph by its edge weight. python,"lst.sort(key=lambda x: x[2], reverse=True)"
pythons fastest way of randomising case of a string,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)"
compare if each value in list `a` is less than respective index value in list `b`,"all(i < j for i, j in zip(a, b))"
fitting data with numpy,"np.polyfit(x, y, 4)"
python list of tuples to list of int,y = (i[0] for i in x)
how to slice a dataframe having date field as index?,df = df.set_index(['TRX_DATE'])
sort a pandas data frame with column `a` in ascending and `b` in descending order,"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)"
how to specify column names while reading an excel file using pandas?,"df = xl.parse('Sheet1', header=None)"
union of dict objects in python,"dict({'a': 'y[a]'}, **{'a', 'x[a]'}) == {'a': 'x[a]'}"
create 2d array in python using for loop results,"[[i, i * 10] for i in range(5)]"
sort list `keys` based on its elements' dot-seperated numbers,"keys.sort(key=lambda x: map(int, x.split('.')))"
sorting list of tuples by arbitrary key,"sorted(mylist, key=lambda x: order.index(x[1]))"
how do i access a object's method when the method's name is in a variable?,"getattr(test, method)"
concatenate row values for the same index in pandas,"df.groupby('A').apply(lambda x: list(np.repeat(x['B'].values, x['quantity'])))"
select the last business day of the month for each month in 2014 in pandas,"pd.date_range('1/1/2014', periods=12, freq='BM')"
finding index of the same elements in a list,"[index for index, letter in enumerate(word) if letter == 'e']"
python - json without whitespaces,"json.dumps(separators=(',', ':'))"
python getting a list of value from list of dict,"map(lambda d: d.get('value', 'default value'), l)"
regex: how to match words without consecutive vowels?,"[w for w in open('file.txt') if not re.search('[aeiou]{2}', w)]"
how does numpy infers dtype for array,"np.array(12345678901234, dtype=np.int32)"
delete multiple dictionaries in a list,[i for i in Records if i['Price']]
concise way to remove elements from list by index in python,"[v for i, v in enumerate(myList) if i not in toRemove]"
how to convert comma-delimited string to list in python?,print(tuple(my_list))
python/pandas: how to combine two dataframes into one with hierarchical column index?,"pd.concat(dict(df1=df1, df2=df2), axis=1)"
how to sort ordereddict of ordereddict - python,"OrderedDict(sorted(list(od.items()), key=lambda item: item[1]['depth']))"
comparing elements between elements in two lists of tuples,set(x[0] for x in list1).intersection(y[0] for y in list2)
convert all of the items in a list `lst` to float,[float(i) for i in lst]
pandas: how to increment a column's cell value based on a list of ids,"my_df.loc[my_df['id'].isin(ids), 'other_column'] += 1"
summarizing a dictionary of arrays in python,"sorted(iter(mydict.items()), key=lambda k_v: sum(k_v[1]), reverse=True)[:3]"
using python string formatting with lists,""""""", """""".join(['%.2f'] * len(x))"
calcuate mean for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])].mean(axis=0)"
numpy: cartesian product of x and y array points into single array of 2d points,"numpy.dstack(numpy.meshgrid(x, y)).reshape(-1, 2)"
conditional row read of csv in pandas,df[df['B'] > 10]
how to alphabetically sort array of dictionaries on single key?,my_list.sort(key=operator.itemgetter('name'))
count the number of values in `d` dictionary that are predicate to function `some_condition`,sum(1 for x in list(d.values()) if some_condition(x))
django jinja slice list `mylist` by '3:8',{{(mylist | slice): '3:8'}}
convert string to dict using list comprehension in python,"dict((n, int(v)) for n, v in (a.split('=') for a in string.split()))"
set dataframe `df` index using column 'month',df.set_index('month')
sum up column values in pandas dataframe,"df.groupby(['score', 'type']).sum()"
how to add items into a numpy array,"array([[1, 3, 4, 10], [1, 2, 3, 20], [1, 2, 1, 30]])"
sort list `lst` with positives coming before negatives with values sorted respectively,"sorted(lst, key=lambda x: (x < 0, x))"
how can i sum the product of two list items using for loop in python?,"list(x * y for x, y in list(zip(a, b)))"
how can i get the name of an object in python?,"dict([(t.__name__, t) for t in fun_list])"
csv parsing in python,writer.writerow([])
counting positive elements in a list with python list comprehensions,sum(x > 0 for x in frequencies)
how to replace the some characters from the end of a string?,"s[::-1].replace('2', 'x', 1)[::-1]"
python: how to generate a 12-digit random number?,"return '{0:0{x}d}'.format(random.randint(0, 10 ** x - 1), x=x)"
element-wise minimum of multiple vectors in numpy,np.asarray(V).min(0)
how to query multiindex index columns values in pandas,"x.loc[(x.B >= 111.0) & (x.B <= 500.0)].set_index(['A', 'B'])"
complex sorting of a list,"sorted(['1:14', '8:01', '12:46', '6:25'], key=daytime)"
binning a numpy array,"print(data.reshape(-1, 2).mean(axis=1))"
sort a list based on dictionary values in python?,"sorted(trial_list, key=lambda x: trial_dict[x])"
how can i detect dos line breaks in a file?,"print(open('myfile.txt', 'U').read())"
"shuffle an array with python, randomize array item order with python",random.shuffle(array)
get a list of items from the list `some_list` that contain string 'abc',matching = [s for s in some_list if 'abc' in s]
loop for each item in a list,list(itertools.product(*list(mydict.values())))
reading data blocks from a file in python,line = f.readline()
numpy: get random set of rows from 2d array,"A[np.random.choice(A.shape[0], num_rows_2_sample)]"
insert a list `k` at the front of list `a`,"a.insert(0, k)"
filter dataframe `df` by sub-level index '0630' in pandas,df[df.index.map(lambda x: x[1].endswith('0630'))]
how do i split an ndarray based on array of indexes?,"print(np.split(a, b, axis=0))"
argsort for a multidimensional ndarray,"a[np.arange(np.shape(a)[0])[:, (np.newaxis)], np.argsort(a)]"
how to sort a dataframe in python pandas by two or more columns?,"df1 = df1.sort(['a', 'b'], ascending=[True, False])"
convert a list `my_list` into string with values separated by spaces,""""""" """""".join(my_list)"
how to query multiindex index columns values in pandas,result_df.index.get_level_values('A')
create a list by appending components from list `a` and reversed list `b` interchangeably,"[value for pair in zip(a, b[::-1]) for value in pair]"
split array at value in numpy,"B = np.split(A, np.where(A[:, (0)] == 0.0)[0][1:])"
"remove all spaces from a string converted from dictionary `{'a': 1, 'b': 'as df'}`","str({'a': 1, 'b': 'as df'}).replace(': ', ':').replace(', ', ',')"
adding calculated column(s) to a dataframe in pandas,d['A'][:-1] < d['C'][1:]
ordering django queryset by an @property,"sorted(Thing.objects.all(), key=lambda t: t.name)"
converting a string to list in python,"[int(x) for x in '0,1,2'.split(',')]"
numpy einsum to get axes permutation,"np.einsum('kij->ijk', M)"
get a list of lists with summing the values of the second element from each list of lists `data`,[[sum([x[1] for x in i])] for i in data]
pandas: replace string with another string,df['prod_type'] = 'responsive'
python: sum string lengths,length = sum(len(s) for s in strings)
how do you calculate correlation between all columns in a dataframe and all columns in another dataframe?,df1.apply(lambda s: df2.corrwith(s))
merge two arrays into a matrix in python and sort,"A2, B2 = zip(*sorted(zip(A, B), key=lambda x: x[1]))"
"printing a list of lists, without brackets","print(item[0], ', '.join(map(str, item[1:])))"
how do i release memory used by a pandas dataframe?,df.dtypes
convert hex string `s` to integer,"int(s, 16)"
create an array containing the conversion of string '100110' into separate elements,"np.array(map(int, '100110'))"
replace a string in list of lists,"[['string 1', 'atest string:'], ['string 1', 'test 2: anothertest string']]"
how do i sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
convert pandas dataframe to sparse numpy matrix directly,scipy.sparse.csr_matrix(df.values)
grouping pandas dataframe by n days starting in the begining of the day,df['date'] = df['time'].apply(lambda x: x.date())
extract first and last row of a dataframe `df`,"pd.concat([df.head(1), df.tail(1)])"
make a flat list from list of lists `list2d`,list(itertools.chain(*list2d))
how to get values from a map and set them into a numpy matrix row?,"l = np.array([list(method().values()) for _ in range(1, 11)])"
append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`,"list3 = [(a + b) for a, b in zip(list1, list2)]"
convert black and white array into an image in python?,im = Image.fromarray(my_array)
"how to add key,value pair to dictionary?",dictionary[key] = value
formatting floats in a numpy array,np.random.randn(5) * 10
convert numpy array into python list structure,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()"
sort dict in jinja2 loop,"sorted(list(league.items()), key=lambda x: x[1]['totalpts'], reverse=True)"
find max since condition in pandas timeseries dataframe,df['b'].cumsum()
"remove all null values from columns 'three', 'four' and 'five' of dataframe `df2`","df2.dropna(subset=['three', 'four', 'five'], how='all')"
how to get the red channel color space of an image?,"img[:, :, (0)] = 0"
iterating over a numpy array,"[(x, y) for x, y in numpy.ndindex(a.shape)]"
creating an empty list,[]
python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d]
search a list of strings for any sub-string from another list,any(k in s for k in keywords)
assigning values in each column to be the sum of that column,df = pd.DataFrame([df.sum()] * len(df))
find first non-zero value in each row of pandas dataframe,"df.replace(0, np.nan).bfill(1).iloc[:, (0)]"
how to count the number of letters in a string without the spaces?,sum(c != ' ' for c in word)
python: get key of index in dictionary,"d = {'i': 1, 'j': 1}"
how can i import a python module function dynamically?,my_function = __import__('my_apps.views').my_function
"make subset of array, based on values of two other arrays in python","c1[np.logical_and(c2 == 2, c3 == 3)]"
how to check whether elements appears in the list only once in python?,len(set(a)) == len(a)
python pandas - how to flatten a hierarchical index in columns,df.columns = [' '.join(col).strip() for col in df.columns.values]
create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]"
print a dict sorted by values,"sorted(((v, k) for k, v in d.items()), reverse=True)"
pandas changing order of columns after data retrieval,"df = df.rename(columns={'oldName1': 'newName1', 'oldName2': 'newName2'})"
list of non-zero elements in a list in python,"[1, 1, 0, 0, 1, 0]"
what's a good way to combinate through a set?,list(powerset('abcd'))
sort list `lst` based on each element's number of occurrences,"sorted(lst, key=lambda x: (-1 * c[x], lst.index(x)))"
how to get the length of words in a sentence?,[len(x) for x in s.split()]
python(pandas): removing duplicates based on two columns keeping row with max value in another column,"df.sort('C').drop_duplicates(subset=['A', 'B'], take_last=True)"
python sorting two lists,"[list(x) for x in zip(*sorted(zip(list1, list2), key=lambda pair: pair[0]))]"
"append a list [8, 7] to list `foo`","foo.append([8, 7])"
get each value from a list of lists `a` using itertools,print(list(itertools.chain.from_iterable(a)))
filtering a pandas dataframe without removing rows,df.where((df > df.shift(1)).values & DataFrame(df.D == 1).values)
find all occurrences of a substring in python,"[m.start() for m in re.finditer('test', 'test test test test')]"
python: how to generate a 12-digit random number?,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
sort a python list of dictionaries `users` by a given list `order` of ids 'id' with the desired order,users.sort(key=lambda x: order.index(x['id']))
"replace `0` with `2` in the list `[0, 1, 0, 3]`","[(a if a else 2) for a in [0, 1, 0, 3]]"
first non-null value per row from a list of pandas columns,df.stack()
how to declare an array in python,[0] * 10000
how to get tuples from lists using list comprehension in python,"[(x, lst2[i]) for i, x in enumerate(lst)]"
how do i insert a column at a specific column index in pandas?,"df.insert(idx, col_name, value)"
"python, add items from txt file into a list",names = [line.strip() for line in open('names.txt')]
from tuples to multiple columns in pandas,"df = df.drop('location', axis=1)"
how to input an integer tuple from user?,"tuple(map(int, input().split(',')))"
add tuple to a list of tuples,"c = [[(i + j) for i, j in zip(e, b)] for e in a]"
configuration file with list of key-value pairs in python,"config = {'name': 'hello', 'see?': 'world'}"
control a print format when printing a list in python,print([('%5.3f' % val) for val in l])
creating a dictionary from an iterable,"x = dict(zip(list(range(0, 10)), itertools.repeat(0)))"
how to convert a string representing a binary fraction to a number in python,"return int(s[1:], 2) / 2.0 ** (len(s) - 1)"
print python native libraries list,help('collections')
print multiple arguments in python,"print('Total score for {} is {}'.format(name, score))"
iteratively writing to hdf5 stores in pandas,"pd.read_hdf('my_store.h5', 'a_table_node', ['index>100'])"
call `dosomething()` in a try-except without handling the exception,"try:
    doSomething()
except:
    pass"
how to append to the end of an empty list?,list1 = [i for i in range(n)]
how to strip all whitespace from string,""""""""""""".join(s.split())"
regular expression in python 2.7 to identify any non numeric symbol in a column in dataframe,print(df.applymap(lambda x: str(x).isdigit()))
can the python csv module parse files with multi-column delimiters,"reader = csv.reader(open('test.csv'), delimiter='|#|')"
how to round to two decimal places in python 2.7?,"round(1.679, 2)"
pandas dataframe create new columns and fill with calculated values from same df,df['A_perc'] = df['A'] / df['sum']
creating an empty list `l`,l = []
how can i filter for string values in a mixed datatype object in python pandas dataframe,df.index.values
how to print a dictionary's key?,"print((key, value))"
retrieve an arbitrary value from dictionary `dict`,next(iter(dict.values()))
how do i count unique values inside an array in python?,len(set(new_words))
how to use groupby to avoid loop in python,df.ix[idx]
unpack numpy array by column,"x = np.arange(15).reshape(5, 3)"
python long integer input,n = int(input())
numpy: how to check if array contains certain numbers?,"numpy.in1d(b, a)"
apply a list of functions named 'functions' over a list of values named 'values',"[x(y) for x, y in zip(functions, values)]"
python tuple to dict,"dict((y, x) for x, y in t)"
convert list with str into list with int,"list(map(int, ['1', '2', '3']))"
what's the best way to search for a python dictionary value in a list of dictionaries?,[x for x in data if x['site'] == 'Superuser']
convert a list of lists `a` into list of tuples of appropriate elements form nested lists,zip(*a)
split a multidimensional numpy array using a condition,"good_data = [data[(n), :][flag == 1].tolist() for n in range(data.shape[0])]"
average of tuples,sum([v[0] for v in list(d.values())]) / float(len(d))
"parse a yaml file ""example.yaml""","with open('example.yaml', 'r') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)"
select rows in pandas which does not contain a specific character,df['str_name'].str.contains('c')
convert json to pandas dataframe,"pd.concat([pd.Series(json.loads(line)) for line in open('train.json')], axis=1)"
how do i sort a python list of time values?,"sorted([tuple(map(int, d.split(':'))) for d in my_time_list])"
how to export a table dataframe in pyspark to csv?,df.write.csv('mycsv.csv')
get value of an input box using selenium (python),input.get_attribute('value')
delete column in pandas based on condition,(df != 0).any(axis=0)
replace all the nan values with 0 in a pandas dataframe `df`,df.fillna(0)
python/numpy - cross product of matching rows in two arrays,"all((c[i] == np.cross(a[i], b[i])).all() for i in range(len(c)))"
merge dataframes in pandas using the mean,"pd.merge(df1, df2, left_index=True, right_index=True, how='outer').mean(axis=1)"
finding the minimum value in a numpy array and the corresponding values for the rest of that array's row,"a[np.argmin(a[:, (1)])]"
sorting a tuple that contains tuples,"MY_SORTED_TUPLE = tuple(sorted(MY_TUPLE, key=lambda item: item[1]))"
return list `result` of sum of elements of each list `b` in list of lists `a`,result = [sum(b) for b in a]
pandas - sorting by column,"pd.concat([df_1, df_2.sort_values('y')])"
"get a list of tuples of every three consecutive items in list `[1, 2, 3, 4, 5, 6, 7, 8, 9]`","list(zip(*((iter([1, 2, 3, 4, 5, 6, 7, 8, 9]),) * 3)))"
how to construct diagonal array using a 2d array in numpy?,"np.eye(foo.shape[1]) * foo[:, (np.newaxis)]"
use a list of values to select rows from a pandas dataframe,"df[df['A'].isin([3, 6])]"
sort order of lists in multidimensional array in python,"sorted(test, key=lambda x: isinstance(x, list) and len(x) or 1)"
how to get the values from a numpy array using multiple indices,"print(arr[[1, 4, 5]])"
bulk zeroing of elements in a scipy.sparse_matrix,A = A - A.multiply(B)
how to apply django/jinja2 template filters 'escape' and 'linebreaks' correctly?,{{my_variable | escape | linebreaks | safe}}
how to check if all values in the columns of a numpy matrix are the same?,"np.equal.reduce([1, 0, 0, 1])"
removing entries from a numpy array,"result = array[:, (idx)]"
python map list of strings to integer list,[ord(x) for x in letters]
delete items from list of list: pythonic way,[[y for y in x if y not in to_del] for x in my_list]
check if a given key 'key1' exists in dictionary `dict`,"if ('key1' in dict):
    pass"
two dimensional array in python,"arr = [[], []]"
sorting a list of tuples `list_of_tuples` by second key,"sorted(list_of_tuples, key=lambda tup: tup[1])"
convert list of strings to int,[[int(x) for x in sublist] for sublist in lst]
get geys of dictionary `my_dict` that contain any values from list `lst`,"[key for key, value in list(my_dict.items()) if set(value).intersection(lst)]"
how to filter a dictionary in python?,"dict((k, 'updated') for k, v in d.items() if v is None)"
how to get a variable name as a string in python?,"dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])"
plot specific rows of a pandas dataframe,df.iloc[2:6].plot(y='b')
how to generate all permutations of a list in python,"print(list(itertools.product([1, 2, 3], [4, 5, 6])))"
shuffling/permutating a dataframe in pandas,df.reindex(np.random.permutation(df.index))
turn dataframe into frequency list with two column variables in python,"pd.concat([df1, df2], axis=1, keys=['precedingWord', 'comp'])"
"test if either of strings `a` or `b` are members of the set of strings, `['b', 'a', 'foo', 'bar']`","set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])"
sorting a list of dictionaries based on the order of values of another list,listTwo.sort(key=lambda x: listOne.index(x['eyecolor']))
find closest row of dataframe to given time in pandas,df.iloc[i]
how to create a pandas dataframe from string,"df = pd.read_csv(TESTDATA, sep=';')"
removing pairs of elements from numpy arrays that are nan (or another value) in python,a[~np.isnan(a).any(1)]
create a list which indicates whether each element in `x` and `y` is identical,[(x[i] == y[i]) for i in range(len(x))]
parsing json python,print(json.dumps(data))
slicing a numpy array within a loop,"array([[0, 1, 2], [3, 4, 5], [6, 7, 8]])"
how to convert dictionary values to int in python?,"results = sorted(ranks, key=lambda x: int(x['rank'].replace(',', '')))"
how do i turn a dataframe into a series of lists?,"print(pd.Series(df.values.tolist(), index=df.index))"
fastest way to split a concatenated string into a tuple and ignore empty strings,tuple(a[:-1].split(';'))
change a string of integers `x` separated by spaces to a list of int,"x = map(int, x.split())"
summing only the numbers contained in a list,"sum([x for x in list if isinstance(x, (int, float))])"
how to remove \n from a list element?,"map(lambda x: x.strip(), l)"
sorting a list of tuples by the addition of second and third element of the tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)"
how to merge two python dictionaries in a single expression?,c = dict(list(a.items()) + list(b.items()))
"recursive ""all paths"" through a list of lists - python","['ab', 'c', 'de', 'fg', 'h']"
best way to remove elements from a list,[item for item in my_list if 1 <= item <= 5]
removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
"replace values `['abc', 'ab']` in a column 'brandname' of  pandas dataframe `df` with another value 'a'","df['BrandName'] = df['BrandName'].replace(['ABC', 'AB'], 'A')"
make a list of lists in which each list `g` are the elements from list `test` which have the same characters up to the first `_` character,"[list(g) for _, g in itertools.groupby(test, lambda x: x.split('_')[0])]"
how to efficiently calculate the outer product of two series of matrices in numpy?,"C = np.einsum('kmn,kln->kml', A, B)"
reading gzipped csv file in python 3,"f = gzip.open(filename, mode='rt')"
sorting the letters of a one worded string in python?,""""""""""""".join(sorted(x))"
how to remove square bracket from pandas dataframe,df['value'] = df['value'].str[0]
python lambda function to calculate factorial of a number,5 * (4 * (3 * (2 * (1 * 1))))
sum each element `x` in list `first` with element `y` at the same index in list `second`.,"[(x + y) for x, y in zip(first, second)]"
what is the most pythonic way to pop a random element from a list?,x.pop(random.randrange(len(x)))
how to write unix end of line characters in windows using python,"f = open('file.txt', 'wb')"
add new column in pandas dataframe python,df['Col3'] = (df['Col2'] <= 1).astype(int)
finding index of an item closest to the value in a list that's not entirely sorted,"min(enumerate(a), key=lambda x: abs(x[1] - 11.5))"
check if object `a` has property 'property',"if hasattr(a, 'property'):
    pass"
best way to format integer as string with leading zeros?,print('{0:05d}'.format(i))
converting from a string to boolean in python?,str2bool('stuff')
find average of every three columns in pandas dataframe,"df.resample('Q', axis=1).mean()"
count `true` values associated with key 'one' in dictionary `tadas`,sum(item['one'] for item in list(tadas.values()))
python: compare a list to a integer,"int(''.join(your_list), 16)"
numpy list comprehension syntax,[[X[i][j] for j in range(len(X[i]))] for i in range(len(X))]
python - how to add integers (possibly in a list?),total = sum([int(i) for i in cost])
python: find index of first digit in string?,"{c: i for i, c in enumerate('xdtwkeltjwlkejt7wthwk89lk') if c.isdigit()}"
convert list of tuples to multiple lists in python,"zip(*[(1, 2), (3, 4), (5, 6)])"
how to create a fix size list in python?,[None for _ in range(10)]
case insensitive string comparison between `string1` and `string2`,(string1.lower() == string2.lower())
finding non-numeric rows in dataframe in pandas?,df.applymap(np.isreal)
print multiple arguments in python,"print(('Total score for', name, 'is', score))"
python lambda with if but without else,lambda x: x if x < 3 else None
how to get the concrete class name as a string?,instance.__class__.__name__
numpy: get 1d array as 2d array without reshape,"np.column_stack([[1, 2, 3, 4, 5], [1, 2, 3, 4, 5]])"
how to count result rows in pandas dataframe?,x = sum(data['cond'] == 1)
print the key of the max value in a dictionary the pythonic way,"print(max(list(d.keys()), key=lambda x: d[x]))"
row-wise indexing in numpy,"A[i, j]"
joining pandas dataframes by column names,"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')"
"how to ""fake"" a module safely in a python package",__init__.py
how can i sum the product of two list items using for loop in python?,"score = sum([(x * y) for x, y in zip(a, b)])"
how to remove nan from a pandas series where the dtype is a list?,pd.Series([np.array(e)[~np.isnan(e)] for e in x.values])
numpy isnan() fails on an array of floats (from pandas dataframe apply),"np.isnan(np.array([np.nan, 0], dtype=object))"
python: find index of first digit in string?,"[(i, c) for i, c in enumerate('xdtwkeltjwlkejt7wthwk89lk') if c.isdigit()]"
saving a numpy array with mixed data,"numpy.savetxt('output.dat', my_array.reshape((1, 8)), fmt='%f %i ' * 4)"
what is numpy way of arranging numpy 2d array based on 2d numpy array of index?,"x[np.arange(x.shape[0])[..., (None)], y]"
trying to strip b' ' from my numpy array,"array(['one.com', 'two.url', 'three.four'], dtype='|S10')"
python : how to avoid numpy runtimewarning in function definition?,"a = np.array(a, dtype=np.float128)"
delete all objects in a list,del mylist[:]
how to get return value from coroutine in python,print(list(sk.d.items()))
multiplication of two 1-dimensional arrays  in numpy,"np.outer(a, b)"
write all tuple of tuples `a` at once into csv file,writer.writerows(A)
resampling non-time-series data,df.groupby('rounded_length').mean().force
replacing instances of a character in a string,"line = line[:10].replace(';', ':') + line[10:]"
is there any elegant way to build a multi-level dictionary in python?,"multi_level_dict('ab', 'AB', '12')"
how can i process a python dictionary with callables?,"{k: (v() if callable(v) else v) for k, v in a.items()}"
join items of each tuple in list of tuples `a` into a list of strings,"list(map(''.join, a))"
how to assign unique identifier to dataframe row,df.head(10)
appending to list in python dictionary,"dates_dict.setdefault(key, []).append(date)"
iterate over a dictionary `dict` in sorted order,return sorted(dict.items())
tuple digits to number conversion,float(str(a[0]) + '.' + str(a[1]))
convert list to a list of tuples python,zip(*it)
how to map 2 lists with comparison in python,"[{'y': 2, 'location': 2}, {'z': 3, 'location': 2}]"
is there a fast way to return sin and cos of the same value in python?,"a, b = np.sin(x), np.cos(x)"
sorting a set of values,"sorted(s, key=float)"
what is the best way to create a string array in python?,strs = ['' for x in range(size)]
pandas. group by field and merge the values in a single row,df.set_index('id').stack().unstack()
finding consecutive segments in a pandas data frame,"df.reset_index().groupby(['A', 'block'])['index'].apply(np.array)"
fastest way to populate a 1d numpy array,"np.fromiter(a, dtype=np.float)"
using a comparator function to sort,"sorted(subjects, operator.itemgetter(0), reverse=True)"
cartesian product of `x` and `y` array points into single array of 2d points,"numpy.dstack(numpy.meshgrid(x, y)).reshape(-1, 2)"
python pandas : group by in group by and average?,df.groupby(['cluster']).mean()
unable to remove unicode char from column names in pandas,df.columns = [strip_non_ascii(x) for x in df.columns]
how to get a padded slice of a multidimensional array?,arr[-2:2]
getting seconds from numpy timedelta64,"np.diff(index) / np.timedelta64(1, 'm')"
change unicode string into list?,"[float(i) for i in a.strip('{}').split(',')]"
"missing data, insert rows in pandas and fill with nan",df.set_index('A')
string formatting in python,"print([1, 2, 3])"
remove index 2 element from a list `my_list`,my_list.pop(2)
generate a sequence of numbers in python,""""""","""""".join(map(str, sorted(list(range(1, 100, 4))) + list(range(2, 100, 4))))"
applying uppercase to a column in pandas dataframe,"df['1/2 ID'] = map(lambda x: x.upper(), df['1/2 ID'])"
delete none values from python dict,"D.update((k, v) for k, v in user.items() if v is not None)"
how to add a string to every even row in a pandas dataframe column series?,print(df['New_Col'])
sum of all values in a python dict,sum(d.values())
get the count of each unique value in column `country` of dataframe `df` and store in column `sum of accidents`,df.Country.value_counts().reset_index(name='Sum of Accidents')
how to apply ceiling to pandas datetime,pd.Series(pd.PeriodIndex(df.date.dt.to_period('T') + 1).to_timestamp())
splitting a nested list into two lists,"my_list2, my_list1 = map(list, zip(*my_list))"
how to check if an element from list a is not present in list b in python?,list([a for a in A if a not in B])
sub matrix of a list of lists (without numpy),[row[2:5] for row in LoL[1:4]]
merge a list of dictionaries in list `l` into a single dict,"{k: v for d in L for k, v in list(d.items())}"
how to check if two permutations are symmetric?,"Al = [al1, al2, al3, al4, al5, al6]"
python: how to escape 'lambda',"print(getattr(args, 'lambda'))"
python: one-liner to perform an operation upon elements in a 2d array (list of lists)?,"[map(int, x) for x in values]"
how to determine a numpy-array reshape strategy,"arr = np.arange(3 * 4 * 5).reshape(3, 4, 5)"
extracting key value pairs from string with quotes,"{'key1': 'value1', 'key2': 'value2,still_value2,not_key1=""not_value1""'}"
how to get http headers in flask?,request.headers['your-header-name']
pandas dataframe to list,pd['a'].tolist()
convert a list to a dictionary in python,"dict((k, 2) for k in a)"
recursively replace characters in a dictionary,"{'delicious_apples': {'green_apples': 2}, 'green_pear': 4, 'brown_muffins': 5}"
looping through a list from a specific key to the end of the list,l[1:]
create a dataframe containing the multiplication of element-wise in dataframe `df` and dataframe `df2` using index name and column labels of dataframe `df`,"pd.DataFrame(df.values * df2.values, columns=df.columns, index=df.index)"
convert an rgb image 'messi5.jpg' into grayscale `img`,"img = cv2.imread('messi5.jpg', 0)"
how to add a new row to an empty numpy array,"arr = np.empty((0, 3), int)"
python pandas: plot histogram of dates?,"df.groupby([df.date.dt.year, df.date.dt.month]).count().plot(kind='bar')"
nonalphanumeric list order from os.listdir() in python,sorted(os.listdir(whatever_directory))
pandas: transforming the dataframegroupby object to desired format,"df.columns = ['code/colour', 'id:amount']"
numpy: sorting a multidimensional array by a multidimensional array,a[list(np.ogrid[[slice(x) for x in a.shape]][:-1]) + [i]]
how to sort a dataframe in python pandas by two or more columns?,"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)"
switch keys and values in a dictionary `my_dict`,"dict((v, k) for k, v in my_dict.items())"
best way to get last entries from pandas data frame,df.iloc[df.groupby('id')['date'].idxmax()]
getting only element from a single-element list in python?,singleitem = mylist[-1]
duplicate data in pandas dataframe `x` for 5 times,"pd.concat([x] * 5, ignore_index=True)"
removing elements from a list containing specific characters,[x for x in l if not '2' in x]
is there a way in pandas to use previous row value in dataframe.apply when previous value is also calculated in the apply?,"df.loc[0, 'C'] = df.loc[0, 'D']"
how can i filter items from a list in python?,"d = set([item for item in d if re.match('^[a-zA-Z]+$', item)])"
data in a list within a list,"[set([1, 4, 5, 6]), set([0, 2, 3, 7])]"
storing a matlab file using python,"scipy.io.savemat('test.mat', data)"
python - intersection of two lists of lists,"{tuple(x) for x in l1}.intersection(map(tuple, l2))"
pandas: how to conditionally assign multiple columns?,"df[df.columns.isin(['a', 'b', 'c']) & (df < 0)] = np.nan"
python list comprehension for loops,[(x + y) for x in '12345' for y in 'ab']
how to find all occurrences of a pattern and their indices in python,"[x.start() for x in re.finditer('foo', 'foo foo foo foo')]"
python pandas group by date using datetime data,df.set_index('Date_Time').groupby(pd.TimeGrouper('D')).mean().dropna()
converting from a string to boolean in python?,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']"
find the index of the maximum value in the array `arr` where the boolean condition in array `cond` is true,"np.ma.array(np.tile(arr, 2).reshape(2, 3), mask=~cond).argmax(axis=1)"
limit float 13.949999999999999 to two decimal points,float('{0:.2f}'.format(13.95))
import a module in python,__init__.py
replace values in list using python,new_items = [(x if x % 2 else None) for x in items]
